sr_no,procedure,category,min_price,avg_price,max_price
799,Micro-surgical Vasovasostomy /Vaso epidedymal ansatamosis.,ent,9936.0,11426.0,11426.0
800,Operations for Varicocele Unilateral-Microsurgical,ent,7705.0,8861.0,8861.0
801,Operations for Varicocele Palomo’s Unilateral - Lap,ent,8280.0,9522.0,9522.0
802,Operations for Varicocele Bilateral --Microsurgical,ent,12650.0,14548.0,14548.0
803,Operations for Varicocele Bilateral – Lap/ Palomo,ent,14950.0,17193.0,17193.0
804,Block Dissection of ilio-inguinal Nodes - One Side (For Ca- Penis),ent,6325.0,7274.0,7274.0
805,Block Dissection of ilio-inguinal Nodes - Both Sides (For Ca- Penis),ent,20700.0,23805.0,23805.0
806,Excision of Filarial Scrotum,ent,11500.0,13225.0,13225.0
807,Kidney Transplantation (related),ent,200000.0,230000.0,230000.0
808,"Kidney Transplantation (Spousal/ unrelated) Including immunosuppressant
therapy",ent,300000.0,345000.0,345000.0
809,ABO incompatible Transplantation,ent,441000.0,507150.0,507150.0
810,Swap Transplantation,ent,349200.0,401580.0,401580.0
811,Kidney Transplant Graft Nephrectomy,ent,59500.0,70000.0,70000.0
812,Donor Nephrectomy (open),ent,28750.0,33063.0,33063.0
813,Donor Nephrectomy (Laproscopic),ent,46000.0,52900.0,52900.0
814,Cadaver Transplantation,ent,83300.0,95795.0,95795.0
815,Kidney Transplant with Native Kidney Nephrectomy (Related)/ Unilateral,ent,28000.0,32200.0,32200.0
816,Kidney Transplant with Native Kidney Nephrectomy (Related)/ Bilateral,ent,76500.0,87975.0,87975.0
817,"Kidney Transplant with Native Kidney Nephrectomy (Spousal/ Unrelated)
Unilateral",ent,76500.0,87975.0,87975.0
818,"Kidney Transplant with Native Kidney Nephrectomy (Spousal/ Unrelated)
Bilateral",ent,76500.0,87975.0,87975.0
819,Post-Transplant Collection drainage for Lymphocele (open),ent,6120.0,7200.0,7200.0
820,Post-Transplant Collection drainage for Lymphocele (percutaneous),ent,6120.0,7200.0,7200.0
821,Post-Transplant Collection drainage for Lymphocele (Laproscopic),ent,6885.0,8100.0,8100.0
822,Arteriovenous Fistula for Haemodialysis,ent,2300.0,2645.0,2645.0
823,Arteriovenous Shunt for Haemodialysis,ent,3500.0,4025.0,4025.0
824,Jugular Catheterization for Haemodialysis,ent,1500.0,1725.0,1725.0
825,Subclavian Catheterization for Haemodialysis,ent,2025.0,2329.0,2329.0
826,One sided (single Lumen) Femoral Catheterization for Haemodialysis,ent,1000.0,1150.0,1150.0
827,Bilateral (single Lumen) Femoral Catheterization for Haemodialysis,ent,1500.0,1725.0,1725.0
828,Double Lumen Femoral Catheterization for Haemodialysis,ent,1850.0,2128.0,2128.0
829,Permcath Insertion,ent,2800.0,3220.0,3220.0
830,Arterio venous Prosthetic Graft,ent,1850.0,2128.0,2128.0
831,Single lumen Jugular Catheterization,ent,1500.0,1725.0,1725.0
832,Single lumen Subclavian Catheterization,ent,1700.0,2000.0,2000.0
833,Plasma Exchange/ Plasma phresis,ent,1725.0,1984.0,1984.0
834,Open method CAPD catheter insertion,ent,3150.0,3623.0,3623.0
835,Schlendinger method CAPD catheter insertion,ent,3150.0,3623.0,3623.0
836,Sustained low efficiency hemodialysis,ent,1250.0,1438.0,1438.0
837,Continuous Veno venous/Arteriovenous Hemofilteration,ent,2250.0,2588.0,2588.0
838,Hemodialysis for Sero negative cases,ent,1400.0,1610.0,1610.0
839,Hemodialysis for Sero Positive cases,ent,1650.0,1898.0,1898.0
840,Acute Peritoneal Dialysis,ent,1450.0,1668.0,1668.0
841,Fistologram for Arteriovenous Fistula,ent,2250.0,2588.0,2588.0
842,Ultrasound guided kidney Biopsy,ent,850.0,978.0,978.0
843,Fistula stenosis dilation,ent,3000.0,3450.0,3450.0
844,Slow continuous Ultrafilteration,ent,2250.0,2588.0,2588.0
845,PCNL - Unilateral,ent,20000.0,23000.0,23000.0
846,PCNL - Bilateral,ent,25000.0,28750.0,28750.0
847,Endoscopic Bulking agent Inject,ent,4500.0,5175.0,5175.0
848,Testicular Biopsy,ent,1760.0,2023.0,2023.0
849,Radical Nephrectomy -Open,ent,17250.0,19838.0,19838.0
850,Radical Nephrectomy -Lap/Endoscopic,ent,20700.0,23805.0,23805.0
851,Radical Nephrectomy plus IV thrombus,ent,20700.0,23805.0,23805.0
852,Radical Nephrectomy plus IV thrombus plus cardiac bypass.,ent,20700.0,23805.0,23805.0
853,Vesico Vaginal Fistula Repair (Open),ent,16000.0,18400.0,18400.0
854,Vesico Vaginal Fistula Repair (Laproscopic),ent,22000.0,25300.0,25300.0
855,Radical Cystectomy -Ileal conduit,ent,17000.0,20000.0,20000.0
856,Radical Cystectomy - continent diversion.,ent,15000.0,17250.0,17250.0
857,Radical Cystectomy – Neo bladder,ent,16650.0,19148.0,19148.0
858,Nephrectomy Simple -Open,ent,10074.0,11585.0,11585.0
859,Nephrectomy Simple-lap/Endoscopic,ent,11334.0,13034.0,13034.0
860,Nephrostomy -Open,ent,10000.0,11500.0,11500.0
861,Nephrostomy -Lap/Endoscopic,ent,10704.0,12593.0,12593.0
862,Ureteric Re- implant for Megaureter/Vesicoureteric reflex/uterocele (open),ent,10494.0,12068.0,12068.0
863,"Ureteric Re -implant for Megaureter/Vesicoureteric reflex/ uterocele
(Laproscopic)",ent,10494.0,12068.0,12068.0
864,Partial Cystectomy,ent,13800.0,15870.0,15870.0
865,TURP & TUR Bladder Tumour,ent,15525.0,17854.0,17854.0
866,TURP with Cystolithotripsy,ent,17000.0,19550.0,19550.0
867,Closure of Urethral Fistula,ent,9900.0,11385.0,11385.0
868,Orchidopexy - Unilateral -Open,ent,9867.0,11347.0,11347.0
869,Orchidopexy - Unilateral- Lap/Endoscopic,ent,12334.0,14184.0,14184.0
870,Orchidopexy - Bilateral -Open,ent,12282.0,14124.0,14124.0
871,Orchidopexy - Bilateral -Lap/Endoscopic,ent,14500.0,16675.0,16675.0
872,Cystolithotomy -Suprapubic,ent,9775.0,11241.0,11241.0
873,Endoscopic Removal of Stone in Bladder,ent,3450.0,3968.0,3968.0
874,"Resection Bladder Neck Endoscopic /Bladder neck incision/transurethral
incision on prostrate",ent,9833.0,11308.0,11308.0
875,Ureteroscopic Surgery,ent,9315.0,10713.0,10713.0
876,Urethroplasty 1st Stage,ent,10925.0,12564.0,12564.0
877,Scrotal Exploration,ent,8556.0,9839.0,9839.0
878,Perineal Urethrostomy,ent,4715.0,5422.0,5422.0
879,Dilatation of Stricture Urethra under G.A.,ent,2000.0,2300.0,2300.0
880,Dilatation of Stricture Urethra under LA,ent,1553.0,1786.0,1786.0
881,Laproscopic Nephrectomy,ent,30015.0,34518.0,34518.0
882,Laproscopic partial Nephrectomy,ent,10000.0,11500.0,11500.0
883,Laproscopic pyelolithotomy,ent,12650.0,14548.0,14548.0
884,Laproscopic Pyeloplasty,ent,9775.0,11241.0,11241.0
885,Laproscopic surgery for Renal cyst,ent,9775.0,11241.0,11241.0
886,Laproscopic ureterolithotomy,ent,11500.0,13225.0,13225.0
887,Laproscopic Nephro ureterotectomy,ent,11903.0,13688.0,13688.0
888,Lithotripsy Extra corporeal shock wave.,ent,19550.0,22483.0,22483.0
889,Uroflow Study (Uroflometry),ent,450.0,518.0,518.0
890,Urodynamic Study (Cystometry),ent,480.0,552.0,552.0
891,Cystoscopy with Retrograde Catheter -Unilateral /RGP,ent,2523.0,2901.0,2901.0
892,Cystoscopy with Retrograde Catheter - Bilateral /RGP,ent,4208.0,4950.0,4950.0
893,Cystoscopy with Bladder Biopsy (Cold Cup Biopsy),ent,3381.0,3888.0,3888.0
894,Voiding-cysto-urethrogram and retrograde urethrogram (Nephrostogram),ent,414.0,476.0,476.0
895,Radical prostatectomy-Open,ent,16043.0,18449.0,18449.0
896,Radical prostatectomy-Laproscopic,ent,18113.0,20830.0,20830.0
897,Radical prostatectomy- Robotic (Robotic Partial Nephrectomy),ent,18113.0,20830.0,20830.0
898,Hollmium YAG Prostate Surgery,ent,15000.0,17250.0,17250.0
899,Hollmium YAG OIU,ent,4600.0,5290.0,5290.0
900,Hollmium YAG Core Through,ent,17250.0,19838.0,19838.0
901,Hollmium YAG Stone Lithotripsy,ent,10200.0,12000.0,12000.0
902,Green Light laser for prostate,ent,17250.0,19838.0,19838.0
903,RIRS/ Flexible Ureteroscopy,ent,6800.0,7820.0,7820.0
